key,title,category
,,0
MTAwIHBlcmNlbnQ=,100 percent,0
MSDCuS/igoPigLIgcGl0Y2g=,1 ¹/₃′ pitch,0
MTA4MA==,1080,0
MSDCuS/igoMnIHBpdGNo,1 ¹/₃' pitch,0
MTIgcC5tLg==,12 p.m.,0
MTIgYS5tLg==,12 a.m.,0
MTItc3RlcA==,12-step,0
MTbigLIgc3RvcA==,16′ stop,0
MTbigLIgcGl0Y2g=,16′ pitch,0
MTYtZm9vdCBzdG9w,16-foot stop,0
MTYtZm9vdCBwaXRjaA==,16-foot pitch,0
MTYnIHBpdGNo,16' pitch,0
MTYnIHN0b3A=,16' stop,0
MTgtd2hlZWxlcg==,18-wheeler,0
MeKAsiBwaXRjaA==,1′ pitch,0
MeKAsiBzdG9w,1′ stop,0
MS1mb290IHBpdGNo,1-foot pitch,0
Miw0LDUtVA==,"2,4,5-T",0
MScgcGl0Y2g=,1' pitch,0
MScgc3RvcA==,1' stop,0
MS1mb290IHN0b3A=,1-foot stop,0
Miw0LUQ=,"2,4-D",0
Mi4w,2.0,0
MjAvMjA=,20/20,0
MjAvMjAgaGluZHNpZ2h0,20/20 hindsight,0
MiDCsi/igoPigLIgcGl0Y2g=,2 ²/₃′ pitch,0
MiDCsi/igoMnIHBpdGNo,2 ²/₃' pitch,0
MjQtNw==,24-7,0
MuKAsiBzdG9w,2′ stop,0
MjQvNw==,24/7,0
MuKAsiBwaXRjaA==,2′ pitch,0
MkQ=,2D,0
Mi1mb290IHBpdGNo,2-foot pitch,0
Mi1mb290IHN0b3A=,2-foot stop,0
Mkg=,2H,0
MicgcGl0Y2g=,2' pitch,0
Micgc3RvcA==,2' stop,0
Mi1E,2-D,0
MldE,2WD,0
MzLigLIgcGl0Y2g=,32′ pitch,0
MzLigLIgc3RvcA==,32′ stop,0
MzItZm9vdCBwaXRjaA==,32-foot pitch,0
MzItZm9vdCBzdG9w,32-foot stop,0
MzInIHBpdGNo,32' pitch,0
MzInIHN0b3A=,32' stop,0
MzYw,360,0
MzYwcw==,360s,0
M0Q=,3D,0
My1E,3-D,0
My1EIHByaW50ZWQ=,3-D printed,0
My1ELXByaW50ZWQ=,3-D-printed,0
M0QgcHJpbnRlZA==,3D printed,0
M0QtcHJpbnRlZA==,3D-printed,0
My1EIHByaW50ZXI=,3-D printer,0
My1EIHByaW50ZXJz,3-D printers,0
M0QgcHJpbnRlcg==,3D printer,0
M0QgcHJpbnRlcnM=,3D printers,0
My1EIHByaW50aW5n,3-D printing,0
M0QgcHJpbnRpbmc=,3D printing,0
M0g=,3H,0
NDA=,40,0
NDAw,400,0
NDAxKGsp,401(k),0
NDEx,411,0
NOKAsiBwaXRjaA==,4′ pitch,0
NOKAsiBzdG9w,4′ stop,0
NC1G,4-F,0
NC1mb290IHBpdGNo,4-foot pitch,0
NC1mb290IHN0b3A=,4-foot stop,0
NEc=,4G,0
NC1I,4-H,0
NC1IZXI=,4-Her,0
NC1IJ2Vy,4-H'er,0
NCcgcGl0Y2g=,4' pitch,0
NHg0,4x4,0
NCcgc3RvcA==,4' stop,0
NFdE,4WD,0
NS1IVA==,5-HT,0
NUc=,5G,0
NjA2,606,0
NjTigLIgcGl0Y2g=,64′ pitch,0
NjQtZm9vdCBwaXRjaA==,64-foot pitch,0
ODAwIG51bWJlcg==,800 number,0
ODAwLXBvdW5kIGdvcmlsbGE=,800-pound gorilla,0
NjQnIHBpdGNo,64' pitch,0
ODAgVXJzYWUgTWFqb3Jpcw==,80 Ursae Majoris,0
ODYnZA==,86'd,0
ODY=,86,0
ODZlcw==,86es,0
OOKAsiBwaXRjaA==,8′ pitch,0
ODZpbmc=,86ing,0
OOKAsiBzdG9w,8′ stop,0
OC1mb290IHBpdGNo,8-foot pitch,0
OC1mb290IHN0b3A=,8-foot stop,0
OCcgcGl0Y2g=,8' pitch,0
OS10by01,9-to-5,0
OCcgc3RvcA==,8' stop,0
