key,title,category
,,o
LW8t,-o-,o
bw==,o,o
LW8=,-o,o
byc=,o',o
by0=,o-,o
Tw==,O,o
T0E=,OA,o
by9h,o/a,o
T0FB,OAA,o
b2Fm,oaf,o
b2FmaXNo,oafish,o
b2FmaXNobHk=,oafishly,o
b2FmaXNobmVzcw==,oafishness,o
b2Fmcw==,oafs,o
T2FodWFu,Oahuan,o
b2Fr,oak,o
b2FrIGFwcGxl,oak apple,o
b2FrIGJlYXV0eQ==,oak beauty,o
b2FrIGJsaWdodA==,oak blight,o
b2FrIGJvcmVy,oak borer,o
b2FrIGJyb3du,oak brown,o
b2FrZW4=,oaken,o
b2FrIGNoZXN0bnV0,oak chestnut,o
b2FrZW5zaGF3,oakenshaw,o
b2FrIGZhbWlseQ==,oak family,o
b2FrIGZlcm4=,oak fern,o
b2FrIGdhbGw=,oak gall,o
b2FrIGZ1bmd1cw==,oak fungus,o
b2FrIGdyZWVu,oak green,o
T2FraWU=,Oakie,o
b2FraW5lc3M=,oakiness,o
T2FrbGFuZGVy,Oaklander,o
b2FrIGxhY2UgYnVn,oak lace bug,o
b2FrLWxlYWYgY2x1c3Rlcg==,oak-leaf cluster,o
b2FrbGVhZiBicm93bg==,oakleaf brown,o
b2FrIGxlYWYgbWluZXI=,oak leaf miner,o
b2FrIGxlYWYgZ29vc2Vmb290,oak leaf goosefoot,o
b2FrIGxlYXRoZXI=,oak leather,o
b2FrbGluZw==,oakling,o
b2FrLWxlYXZlZCBnb29zZWZvb3Q=,oak-leaved goosefoot,o
b2FrIGxvb3Blcg==,oak looper,o
b2FrbW9zcw==,oakmoss,o
b2FrIG9mIENhcHBhZG9jaWE=,oak of Cappadocia,o
b2FrIG9mIEplcnVzYWxlbQ==,oak of Jerusalem,o
b2FrIG9mIFBhcmFkaXNl,oak of Paradise,o
b2FrIG9wZW5pbmc=,oak opening,o
b2FrIHBydW5lcg==,oak pruner,o
b2FrIHJvb3QgZnVuZ3Vz,oak root fungus,o
b2Frcw==,oaks,o
b2FrIHNjYWxl,oak scale,o
b2FrdGFn,oaktag,o
b2FrLXRhbm5lZCBsZWF0aGVy,oak-tanned leather,o
b2FrIHR3aWcgcHJ1bmVy,oak twig pruner,o
b2FrIHRvYWQ=,oak toad,o
b2FrdW0=,oakum,o
b2FrIHdpbHQ=,oak wilt,o
b2Frd29vZA==,oakwood,o
b2FrIHdvcm0=,oak worm,o
b2FreQ==,oaky,o
TyBhbHRpdHVkbw==,O altitudo,o
b2Ft,oam,o
TyBhbmQgUg==,O and R,o
TyBBbnRpcGhvbg==,O Antiphon,o
T0FQ,OAP,o
T0FQcw==,OAPs,o
b2Fy,oar,o
b2FyYWdl,oarage,o
b2FyZWQ=,oared,o
b2FyZWQgc2hyZXc=,oared shrew,o
b2FyIGZlYXRoZXI=,oar feather,o
b2FyZmlzaA==,oarfish,o
b2FyLWZvb3RlZA==,oar-footed,o
b2FyaW5n,oaring,o
b2FybG9jaw==,oarlock,o
b2Fycw==,oars,o
b2Fyc21hbg==,oarsman,o
b2Fyc21hbnNoaXA=,oarsmanship,o
b2Fyc3dvbWFu,oarswoman,o
